gene	locus_tag	transcript_ID	kali320	kali310	kali355	kali351	kali357	kali244	kali326	kali334	kali373	kali308	kali388	kali448	kali322	kali189	kali148	kali262	kali371	kali391	kali224	kali383	kali170	kali443	kali459	kali400
cds2977	"PF11_0145;partial=true;start_range=.,529492"	XM_001347780.1	21.14891685	17.0659488	17.85434959	21.26051246	15.11918386	15.48796468	22.95596745	18.56729905	8.081399766	25.22895474	26.88960205	7.90171641	39.58039998	16.77283991	30.39972337	31.39566656	27.26370222	29.64535069	8.196615878	28.09949586	26.32130175	24.66252727	30.27016149	30.32237476
cds2978	"PF11_0146;partial=true;start_range=.,531176"	XM_001347781.1	0	0	0	0	5.039727954	0.774398234	9.182386982	7.736374602	0	4.20482579	1.222254639	2.63390547	0	0.453319998	0	0	0	0	0	0	0	0	0.240239377	0
cds2979	"PF11_0147;partial=true;start_range=.,534972"	XM_001347782.1	4.22978337	0	2.975724932	0	0	0.774398234	18.36477396	7.736374602	2.308971362	2.102412895	0	6.584763675	0	0.453319998	0.303997234	0.352760298	0.649135767	1.140205796	0	0.460647473	0	0	0	0.561525458
cds298	"PFB0760w;partial=true;start_range=.,686484"	XM_001349634.1	186.1104683	155.7267828	193.4221206	186.029484	65.5164634	212.1851161	151.5093852	167.1056914	270.1496493	111.4278834	234.6728906	197.5429103	263.2763684	289.2181584	197.9021991	241.2880441	229.1449258	206.377249	348.8115424	246.2160743	270.4740662	305.6855353	218.617833	228.8216243
cds2981	"PF11_0149;old_locus_tag=PF11_0150;partial=true;start_range=.,539902"	XM_001347784.2	4.22978337	38.3983848	11.90289973	31.89076869	10.07945591	23.23194702	45.91193491	21.66184889	16.16279953	54.66273527	8.555782472	27.65600744	12.89698426	8.613079953	14.59186722	6.702445669	9.737036506	12.54226375	3.64294039	7.600683305	10.89157314	12.33126363	22.10202268	7.58059369
cds2982	"PF11_0152;old_locus_tag=PF11_0151;partial=true;start_range=.,542329"	XM_001347787.2	118.4339344	59.73082079	127.9561721	130.2206388	35.27809568	116.1597351	45.91193491	83.55284571	145.4651958	67.27721264	121.0032092	76.38325863	169.8844134	293.7513584	133.4547856	194.3709244	220.057025	223.4803359	250.4521518	145.7949252	219.6467249	258.9565363	147.7472168	199.3415378
cds2983	"PF11_0153;partial=true;start_range=.,547382"	XM_001347788.1	0	19.1991924	2.975724932	0	15.11918386	4.646389404	22.95596745	1.54727492	0	6.307238685	12.22254639	1.316952735	0.444723595	0.453319998	0	0	0	0	0	0.230323737	0	0	0.240239377	0
cds2984	"PF11_0154;partial=true;start_range=.,549865"	XM_001347789.1	0	6.399730799	0	0	5.039727954	8.518380574	22.95596745	10.83092444	1.154485681	4.20482579	3.666763916	9.218669145	0.889447191	0.453319998	0	0.352760298	0	0	0	0.230323737	0	0	0	0
cds2986	"PF11_0156;partial=true;start_range=.,555513"	XM_001347791.2	173.4211182	206.9246292	238.0579945	127.5630747	191.5096623	209.0875232	114.7798373	219.7130387	242.441993	155.5785542	165.0043762	150.1326118	250.3793842	317.3239983	199.4221853	306.9014596	421.2891128	308.9957706	281.4171452	192.0899963	239.614609	284.2680774	216.4556786	185.3034013
cds2988	"PF11_0158;partial=true;start_range=.,562016"	XM_001347793.1	4.22978337	0	0	0	5.039727954	0	64.27670887	6.189099682	1.154485681	2.102412895	0	9.218669145	3.113065167	4.533199975	0.607994467	1.058280895	11.68444381	3.990720285	4.553675488	0.69097121	1.815262189	1.298027751	0.960957508	2.807627292
cds2989	"PF11_0159;partial=true;start_range=.,570016"	XM_001347794.1	0	6.399730799	0	0	5.039727954	1.548796468	0	1.54727492	0	8.40965158	1.222254639	2.63390547	0	0	0	0	0	0	0	0	0	0.649013875	0	0.280762729
cds299	"PFB0765w;partial=true;start_range=.,690310"	XM_001349635.1	8.45956674	4.2664872	17.85434959	2.657564057	40.31782363	3.87199117	64.27670887	20.11457397	6.926914085	31.53619343	1.222254639	18.43733829	6.226130335	9.519719948	1.215988935	5.996925073	8.438764972	3.990720285	9.107350976	4.836798467	4.538155474	3.245069377	3.363351277	4.492203668
cds2990	"PF11_0535;partial=true;start_range=.,571006"	XM_002585382.1	59.21696718	2.1332436	0	10.63025623	30.23836773	5.420787638	174.4653527	47.96552253	1.154485681	12.61447737	8.555782472	52.6781094	3.113065167	5.439839971	2.43197787	5.644164774	8.438764972	7.411337671	0	5.067122203	14.52209752	4.543097128	3.603590654	4.772966397
cds2991	"PF11_0160;partial=true;start_range=.,576772"	XM_001347795.2	291.8550525	127.994616	68.44167343	212.6051246	65.5164634	125.4525139	362.7042858	173.2947911	101.5947399	73.58445133	242.0064185	134.329179	80.05024716	41.70543977	78.43128629	74.07966266	65.56271248	57.58039268	23.67911254	67.71517854	85.3173229	73.9875818	97.53718703	85.35186969
